,SPX,VIX,PE_Ratio,CAPE_or_Earnings_Ratio_P_E10,The_Buffett_Indicator,Dividend_Yield,T10Y2Y,GDP_YoY_USA,Unemployment_USA,Inflation_Rate,FEDFUNDS,SPX_return,SPX_volatility,VIX_SPX_ratio,margin_debt_to_market,CREDIT_GAP,AAII_sentiment,composite_bubble_score,composite_bubble_score_smooth,valuation_risk_score,dynamics_risk_score,credit_risk_score,macro_risk_score,sentiment_risk_score,The_Buffett_Indicator_pct_rank,CAPE_or_Earnings_Ratio_P_E10_pct_rank,PE_Ratio_pct_rank,Dividend_Yield_pct_rank,VIX_pct_rank,margin_debt_to_market_pct_rank,T10Y2Y_pct_rank,composite_bubble_score_pct_rank,bubble_risk_level
1990-01-01,305.8916220052278,20.629072388531437,15.606382171940623,15.69427524375623,0.8315420387749713,0.029935363748466677,1.058680115788279,2.9344017697560387,0.053180136549420845,0.021187536409406328,0.03275638771789907,0.0006336692852373371,0.0001227447732670761,0.0674391546041718,0.02209871482169265,-0.42984601625764907,0.5787092611757235,0.5344156650636435,0.5146486060870864,0.030319108597031175,0.0012274477326707609,0.441974296433853,0.5309094137129536,0.5787092611757235,0.4509894867037724,0.42184601113172543,0.5359461966604824,0.5580550401978973,0.49876314162028446,0.5214904143475572,0.551948051948052,0.5104359925788498,High
1990-02-01,310.51191160214023,22.54208680433136,14.94870384598016,16.816489783584096,0.8706486728544478,0.02658500260895007,1.1991794523215107,2.8031818091655185,0.05090278412266607,0.01966597076047761,0.03485606412459153,0.0006336580416326232,0.0001083184744854111,0.07259652838443956,0.01957920074026009,0.8595411767792688,0.8101139703388625,0.49674597725508396,0.5424754179433793,0.0,0.001083184744854111,0.39158401480520183,0.5594679303925946,0.8101139703388625,0.48229746444032157,0.47263450834879406,0.49141929499072357,0.43746134817563387,0.6324211502782932,0.4397031539888683,0.6516697588126159,0.44465058750773034,Medium
1990-03-01,314.56041102112806,22.731880173365404,15.663353137360392,17.102868428460184,0.8257120901332272,0.026444512944509842,1.255497888091547,3.0840563226683657,0.054538127193238674,0.02221382935604661,0.038168091831799776,0.0004730741898224533,0.0001036351509257502,0.07226554702027832,0.025155617729630268,0.6275657445484968,0.8586250577333859,0.569527180720724,0.5323765506768373,0.03316765686801961,0.001036351509257502,0.5031123545926054,0.5904321719428246,0.8586250577333859,0.4458874458874459,0.48523500309214596,0.5396567717996289,0.4322820037105751,0.6480364873222016,0.6372139764996908,0.6947278911564626,0.5740568954854669,High
1990-04-01,317.5653648655716,23.560596674709316,16.11833559760142,17.658540137647904,0.8645114540679311,0.027447134316762666,0.9343404335338392,3.2710815602097907,0.04891436418465031,0.025057277548561158,0.03322461303797144,0.00022669757672555413,0.00010356489450997321,0.07419132966431254,0.020398617886569166,0.5074987855866313,0.613089733890069,0.5326959205131394,0.5435428729934488,0.05591677988007095,0.001035648945099732,0.4079723577313833,0.6194225628175601,0.613089733890069,0.4768862090290662,0.5107452071737786,0.5715831787260359,0.4713203463203463,0.7180735930735931,0.46629560915275203,0.4689239332096475,0.5078849721706865,High
1990-05-01,319.33830851842185,26.10315906720073,16.109469096455232,18.286183820787794,0.9252573108762571,0.025970724824918853,1.592169408086989,3.723729305697123,0.05531649878770472,0.023482747560470238,0.03616990418545035,0.00022104021671398577,0.0001069537562771162,0.08174139578902072,0.02309115864285549,0.45325594723006785,0.6426441660268568,0.46792377581266054,0.5584618503729742,0.0554734548227616,0.0010695375627711619,0.46182317285710983,0.6480404425031712,0.6426441660268568,0.5315398886827458,0.5395794681508967,0.5706555349412492,0.4155844155844156,0.9097093382807668,0.555117501546073,0.9308132343846629,0.4011286332714904,Medium
1990-06-01,320.0594610541147,24.423972635255453,16.576268803204435,17.98733172055466,0.9177045940485913,0.02712661199873498,1.2072447089412486,4.091812670254052,0.05681972183359833,0.028163290675360587,0.04485636239427248,0.00023239164613553243,0.0001138771252613897,0.07631073474539757,0.02356258003542927,0.664431105990815,0.7124791524357985,0.5939996849928548,0.5787121743191451,0.07881344016022176,0.001138771252613897,0.4712516007085854,0.6741364783427294,0.7124791524357985,0.5244279529993816,0.5263605442176871,0.6025819418676561,0.4597247990105133,0.7972325293753865,0.5705782312925171,0.6580859616573902,0.6179653679653679,High
1990-07-01,320.4794420396804,25.751325198036344,17.74611241008904,19.363479369366225,0.9213328988315459,0.025878866466568493,1.1589272635802852,4.078304857541521,0.058095044385780975,0.02611216480087809,0.04135145603463125,0.00018004643723124047,9.525971381635907e-05,0.08035250259468414,0.025089893551008755,0.698662167452305,0.7667370238984367,0.6263491472849411,0.5939553208848648,0.137305620504452,0.0009525971381635907,0.5017978710201751,0.6991521346065228,0.7667370238984367,0.5275200989486704,0.5914502164502164,0.6930272108843537,0.41179653679653677,0.8961038961038961,0.6343537414965986,0.6194341372912802,0.6846011131725418,High
1990-08-01,321.5373185485028,23.905440229536225,18.95056278360375,18.539828893570753,0.8803487413931763,0.02669272542746145,1.026649825516991,4.422037097804524,0.057284166991161574,0.030321789693951537,0.04352271884153331,9.691099094855105e-05,0.00011621902197615368,0.0743473272012442,0.025779666089600292,1.1446479262997096,0.819512905941125,0.5440013300208714,0.5998660391247499,0.19752813918018752,0.0011621902197615367,0.5155933217920059,0.7219045232636999,0.819512905941125,0.49103277674706247,0.5503246753246753,0.810374149659864,0.4424860853432282,0.748222016079159,0.6659709338280767,0.5303030303030303,0.5255102040816326,High
1990-09-01,323.55134555384774,23.510329701603194,18.11547878151107,19.01832253005242,0.8522349060220111,0.025562491764225842,1.4105013971850986,3.5416646783686025,0.06065732748734574,0.03031578758161188,0.04247999636058657,0.00030290635614682593,0.00012620606408098224,0.07266336556678123,0.02538130068085234,1.1320143305742798,0.7104364048836923,0.6026213032873863,0.6272167647823707,0.15577393907555342,0.0012620606408098225,0.5076260136170467,0.7415242725348619,0.7104364048836923,0.4681508967223253,0.5747526283240569,0.7260358688930117,0.39850030921459495,0.7138991960420532,0.6462585034013606,0.8153988868274582,0.6348948670377241,High
1990-10-01,327.1154100329737,21.147476593888285,17.600704921216135,19.755468681403325,0.8820047276257964,0.023932805612139955,1.4325956635070969,3.7511848303575146,0.05914640493343375,0.028408095060135957,0.048160607752657424,0.00041724901883255505,0.0001264476372067305,0.06464836551649031,0.025948019169528415,2.125956694982495,0.9265657199978619,0.6738961881998887,0.6237939814303035,0.13003524606080674,0.0012644763720673052,0.5189603833905683,0.7590951166599624,0.9265657199978619,0.4928107606679035,0.6118583797155226,0.6824366110080395,0.32575757575757575,0.5306122448979592,0.6739332096474954,0.8341836734693877,0.7912801484230055,High
